,ID,Colony,Species,Species_2,Site,Site_2,Tree_site,Tree_site2,tree_color,pch,Colony.ID,Rearing_Temp,initial_workers,initial_mass,Avg_WORK_wet_weight,lat,lon,Elevation,lon.2,lon.3,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,qpcr_block,FC_83,FC_70,FC_40,B_83,B_70,B_40,Axis.1,Axis.2,Axis.3,Axis.4
36,ApGXL-20-C,20-C,picea,picea,APB,AP,AP3,AP3,blue,19,APB3b,26,100,157.12,1.571,42.7197,73.8566,NA,-73.8566,-73.8566,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,3,20.21935514,38.86158829,17.4738805,3.135607245,2.867123395,2.410814619,-0.060725037,0.005178031,0.000364102,-0.008750937
37,ApGXL-20-D,20-D,picea,picea,APB,AP,AP4,AP4,blue,19,APB8,26,100,217.2,2.172,42.7197,73.8566,NA,-73.8566,-73.8566,84,117,29,9569,283,-111,394,182,-44,204,-44,955,93,58,13,272,195,270,195,2,8.781077525,72.15466864,15.65743762,1.65475225,0.940712905,1.105327574,-0.046613493,0.000685633,0.001799062,-0.004558918
38,ApGXL-21-A,21-A,picea,picea,Bear,BE,BE1,BE1,blue,19,Bear6,20,100,204.14,2.041,43.0993,71.3481,NA,-71.3481,-71.3481,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,2,6.772904648,45.47249455,6.874502186,0.948724182,0.554726568,1.155806536,-0.069220374,0.009336727,-0.000669742,0.017277268
39,ApGXL-21-B,21-B,picea,picea,Bear,BE,BE2,BE2,blue,19,Bear5,20,80,197.69,2.471,43.0994,71.3481,NA,-71.3481,-71.3481,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,2,6.453484131,48.88186798,8.900834963,0.903238434,0.448827601,0.621376242,-0.088618522,0.016066651,-0.002800845,0.024574395
40,ApGXL-21-C,21-C,picea,picea,Bear,BE,BE3,BE3,blue,19,Bear3,26,NA,NA,NA,43.0996,71.3479,NA,-71.3479,-71.3479,73,125,31,9333,271,-124,395,27,-39,191,-52,1093,114,78,9,305,245,271,255,2,3.511195791,12.84550423,13.2670328,6.10897462,4.135418982,0.585208104,-0.07295944,0.010474924,-0.001026673,0.0169892
41,ApGXL-22-A,22-A,picea,picea,SEB,SE,SE1,SE1,blue,19,SEB1,26,100,246.16,2.462,43.9235,70.5828,NA,-70.5828,-70.5828,69,123,30,9549,266,-135,401,23,180,189,-59,1152,124,83,12,333,257,267,280,2,17.46056741,49.63064024,13.91427527,0.171095814,0.582331208,0.497699598,-0.0690568,0.009167321,-0.000613497,0.016010649
42,ApGXL-22-B,22-B,picea,picea,SEB,SE,SE2,SE2,blue,19,SEB8,20,86,174.92,2.034,43.9237,70.5828,NA,-70.5828,-70.5828,69,123,30,9549,266,-135,401,23,180,189,-59,1152,124,83,12,333,257,267,280,2,5.781317466,34.59048308,5.795049697,0.530475821,0.346696181,0.40684491,-0.066311153,0.008282353,-0.000319606,0.015936186
43,ApGXL-22-C,22-C,picea,picea,SEB,SE,SE3,SE3,blue,19,SEB9,20,100,255.01,2.55,43.9239,70.5837,NA,-70.5837,-70.5837,68,124,30,9564,266,-137,403,22,179,188,-60,1155,125,83,12,334,259,269,281,2,3.492163285,48.6442221,5.178436695,0.828241541,0.41298763,0.788718681,-0.077798903,0.012145978,-0.001538436,0.019018032
44,ApGXL-23-A,23-A,picea,picea,MM,MM,MM1,MM1,blue,19,MM1,26,60,128.51,2.142,44.1111,71.1403,NA,-71.1403,-71.1403,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285,2,3.143408833,33.87119317,16.40221305,4.024851995,3.864367488,1.559371793,-0.071523469,0.010021299,-0.000867418,0.017231306
45,ApGXL-23-B,23-B,picea,picea,MM,MM,MM2,MM2,blue,19,MM2,26,43,79.69,1.853,44.1111,71.1403,NA,-71.1403,-71.1403,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285,2,25.06863283,90.27994278,42.20405264,0.441353387,0.345198647,0.312697006,-0.093245925,0.017739611,-0.003324314,0.027234103
46,ApGXL-23-C,23-C,picea,picea,MM,MM,MM3,MM3,blue,19,MM4,20,70,177.7,2.539,44.111,71.1368,NA,-71.1368,-71.1368,58,132,31,9815,265,-155,420,10,-61,180,-75,1205,123,86,10,339,266,307,285,2,42.83708153,116.8464194,13.37863441,0.30500355,0.335721562,0.722948716,-0.073797468,0.011013943,-0.001191139,0.020153384
47,ApGXL-24-A,24-A,picea,picea,EW0,EW,EW1,EW1,blue,19,EW09,20,40,110.81,2.77,44.4397,73.1969,978,-73.1969,-73.1969,69,112,27,10121,272,-136,408,195,-55,195,-67,876,102,45,23,279,149,279,154,2,5.511950905,33.08925098,8.324595658,0.959119144,0.633640138,0.5179154,-0.049400408,0.001091707,0.001409901,-0.009650544
48,ApGXL-24-B,24-B,picea,picea,EW,EW,EW2,EW2,blue,19,EW4,26,45,111.95,2.488,44.4397,73.1969,978,-73.1969,-73.1969,69,112,27,10121,272,-136,408,195,-55,195,-67,876,102,45,23,279,149,279,154,2,32.81588859,14.023174,13.59237528,0.190976708,4.388974059,0.63947862,-0.042478441,-0.001418598,0.002026958,-0.010760899
49,ApGXL-25-A,25-A,picea,picea,RW,RW,RW1,RW1,blue,19,RW3,20,100,274.91,2.749,44.4906,73.4855,NA,-73.4855,-73.6,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149,1,6.390177978,18.07477402,1.094135744,0.999534603,0.491454863,8.465962263,0.0933014,-0.200381227,0.003572789,0.013332042
50,ApGXL-25-D,25-D,picea,picea,RW,RW,RW3,RW2,blue,19,RW5,26,94,201.02,2.139,44.4906,73.4855,NA,-73.4855,-73.4855,65,116,28,10061,268,-140,408,190,-58,190,-70,830,99,44,22,264,142,264,149,1,41.57986991,22.35420489,2.649981003,0.235355832,0.752446499,10.54228775,-0.039989878,-0.002152477,0.002293951,-0.010074745
51,ApGXL-26-A,26-A,picea,picea,MB,MB,MB1,MB1,blue,19,MB1,20,100,265.18,2.652,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202,1,1.876070272,12.14432985,1.143967446,5.620522162,1.372928874,6.458267118,-0.061285948,0.005294088,0.000305106,-0.00807526
52,ApGXL-26-C,26-C,picea,picea,MB,MB,MB3,MB3,blue,19,MB4,20,99,245.76,2.482,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202,1,10.35877683,55.20185855,13.72639692,0.328723038,0.541024914,0.038052217,-0.054892674,0.003751613,0.000904805,0.001397633
53,ApGXL-26-D,26-D,picea,picea,MB,MB,MB4,MB4,blue,19,MB2,26,100,243.45,2.435,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202,1,15.61293328,33.63822303,18.89894634,0.368473817,3.129350647,0.301157964,-0.071012466,0.008366969,-0.000711506,-0.01021132
54,ApGXL-26-E,26-E,picea,picea,MB,MB,MB5,MB5,blue,19,MB6,26,100,254.89,2.549,44.5,72.64,236,-72.64,-72.64,54,113,27,10006,253,-151,404,177,-69,177,-82,1036,116,57,19,320,189,320,202,1,10.68897581,69.51384122,21.30460749,0.387870192,0.899582796,0.261736729,-0.081380309,0.012376826,-0.001929501,0.00059405
55,ApGXL-27-A,27-A,picea,picea,KBH,KH,KH1,KH1,blue,19,KBH4b,26,100,206.76,2.068,44.5675,69.9211,NA,-69.9211,-69.9211,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,1,4.520678816,14.04178162,1.817709413,1.437442315,6.165063413,1.610717593,-0.079239869,0.012727561,-0.001743264,0.020137939
56,ApGXL-27-B,27-B,picea,picea,KBH,KH,KH2,KH2,blue,19,KBH1,20,86,166.99,1.942,44.5676,69.9211,NA,-69.9211,-69.9211,58,121,29,9792,259,-149,408,12,-61,180,-74,1127,116,75,10,317,249,281,258,1,9.03762896,56.82665847,11.76589027,0.585660243,0.477379728,0.182255644,0.0132051,-0.029421593,0.00131348,-0.1569943
57,ApGXL-28-B,28-B,picea,picea,Brad,BR,BR2,BR2,blue,19,Brad6,26,72,203.77,2.83,44.9818,68.5174,NA,-68.5174,-68.5174,60,119,29,9674,260,-143,403,15,-58,181,-71,1074,117,80,12,315,245,252,272,1,24.06541041,40.0983488,NA,0.490481386,1.665194137,NA,-0.067986493,0.008846443,-0.000498434,0.016373116
